Date,Open Price,Close Price,High Price,Low Price,Volume
10-Jun-2019,2885.83,2886.73,2904.77,2885.51,1816169088
11-Jun-2019,2903.27,2885.72,2910.61,2878.53,1729523840
12-Jun-2019,2882.73,2879.84,2888.57,2874.68,1576363008
13-Jun-2019,2886.24,2891.64,2895.24,2881.99,1606175360
14-Jun-2019,2886.82,2886.98,2894.45,2879.62,1527411456
17-Jun-2019,2889.75,2889.67,2897.27,2887.30,1519914112
18-Jun-2019,2906.71,2917.75,2930.79,2905.44,1965299968
19-Jun-2019,2920.55,2926.46,2931.74,2911.43,1810645888
20-Jun-2019,2949.60,2954.18,2958.06,2931.50,2026588928
21-Jun-2019,2952.71,2950.46,2964.15,2946.87,2900649216
24-Jun-2019,2951.42,2945.35,2954.92,2944.05,1669689856
25-Jun-2019,2945.78,2917.38,2946.52,2916.01,1963218560
26-Jun-2019,2926.07,2913.78,2932.59,2912.99,1966052736
27-Jun-2019,2919.66,2924.92,2929.30,2918.57,1677803008
28-Jun-2019,2932.94,2941.76,2943.98,2929.05,2751429376
01-Jul-2019,2971.41,2964.33,2977.93,2952.22,1976860288
02-Jul-2019,2964.66,2973.01,2973.21,2955.92,1615965568
03-Jul-2019,2978.08,2995.82,2995.84,2977.96,1077241088
05-Jul-2019,2984.25,2990.41,2994.03,2967.97,1253865216
08-Jul-2019,2979.77,2975.95,2980.76,2970.09,1523365888
09-Jul-2019,2965.52,2979.63,2981.90,2963.44,1595775232
10-Jul-2019,2989.30,2993.07,3002.98,2984.62,1617265920
11-Jul-2019,2999.62,2999.91,3002.33,2988.80,1701896064
12-Jul-2019,3003.36,3013.77,3013.92,3001.87,1582805888
15-Jul-2019,3017.80,3014.30,3017.80,3008.77,1567516288
16-Jul-2019,3012.13,3004.04,3015.02,3001.15,1703769216
17-Jul-2019,3005.10,2984.42,3005.26,2984.25,1702917504
18-Jul-2019,2978.87,2995.11,2998.28,2973.09,1766711808
19-Jul-2019,3004.26,2976.61,3006.02,2975.86,1795427072
22-Jul-2019,2981.93,2985.03,2990.71,2976.65,1615432448
23-Jul-2019,2994.74,3005.47,3005.90,2988.56,1836011648
24-Jul-2019,2998.77,3019.56,3019.59,2996.82,1872338048
25-Jul-2019,3016.26,3003.67,3016.31,2997.24,1956007296
26-Jul-2019,3013.25,3025.86,3027.98,3012.59,1753194368
29-Jul-2019,3024.47,3020.97,3025.61,3014.30,1715538048
30-Jul-2019,3007.66,3013.18,3017.19,3000.94,1806766208
31-Jul-2019,3016.22,2980.38,3017.40,2958.08,2657021952
01-Aug-2019,2980.32,2953.56,3013.59,2945.23,2647251200
02-Aug-2019,2943.90,2932.05,2945.50,2914.11,2153816832
05-Aug-2019,2898.07,2844.74,2898.07,2822.12,2583993088
06-Aug-2019,2861.18,2881.77,2884.40,2847.42,2148278528
07-Aug-2019,2858.65,2883.98,2892.17,2825.71,2314668544
08-Aug-2019,2896.21,2938.09,2938.72,2894.47,2174035712
09-Aug-2019,2930.51,2918.65,2935.75,2900.15,1869441280
12-Aug-2019,2907.07,2883.09,2907.58,2873.14,1433805824
13-Aug-2019,2880.72,2926.32,2943.31,2877.05,2110219008
14-Aug-2019,2894.15,2840.60,2894.15,2839.64,2503335168
15-Aug-2019,2846.20,2847.60,2856.67,2825.51,2395650048
16-Aug-2019,2864.74,2888.68,2893.63,2864.74,2045894656
19-Aug-2019,2913.48,2923.65,2931.00,2913.48,1742349568
20-Aug-2019,2919.01,2900.51,2923.63,2899.60,1632240384
21-Aug-2019,2922.04,2924.43,2928.73,2917.91,1545091456
22-Aug-2019,2930.94,2922.95,2939.08,2904.51,1549635328
23-Aug-2019,2911.07,2847.11,2927.01,2834.97,2341712128
26-Aug-2019,2866.70,2878.38,2879.27,2856.00,1562054016
27-Aug-2019,2893.14,2869.16,2898.79,2860.59,1897364736
28-Aug-2019,2861.28,2887.94,2890.03,2853.05,1608986752
29-Aug-2019,2910.37,2924.58,2930.50,2905.67,1588930816
30-Aug-2019,2937.09,2926.46,2940.43,2913.32,1582857088
03-Sep-2019,2909.01,2906.27,2914.39,2891.85,1678399488
04-Sep-2019,2924.67,2937.78,2938.84,2921.86,1608418944
05-Sep-2019,2960.60,2976.00,2985.86,2960.60,1948167936
06-Sep-2019,2980.33,2978.71,2985.03,2972.51,1627147264
09-Sep-2019,2988.43,2978.43,2989.43,2969.39,2065166976
10-Sep-2019,2971.01,2979.39,2979.39,2957.01,2260850176
11-Sep-2019,2981.41,3000.93,3000.93,2975.31,1987898112
12-Sep-2019,3009.08,3009.57,3020.74,3000.92,2077592704
13-Sep-2019,3012.21,3007.39,3017.33,3002.90,1853602048
16-Sep-2019,2996.41,2997.96,3002.19,2990.67,1839565312
17-Sep-2019,2995.67,3005.70,3006.21,2993.73,1774975744
18-Sep-2019,3001.50,3006.73,3007.83,2978.57,1678559744
19-Sep-2019,3010.36,3006.79,3021.99,3003.16,1510628864
20-Sep-2019,3008.42,2992.07,3016.37,2984.68,3019974144
23-Sep-2019,2983.50,2991.78,2999.15,2982.23,1529145344
24-Sep-2019,3002.43,2966.60,3007.98,2957.73,1974674048
25-Sep-2019,2968.35,2984.87,2989.82,2952.86,1708552192
26-Sep-2019,2985.73,2977.62,2987.28,2963.71,1557281792
27-Sep-2019,2985.47,2961.79,2987.31,2945.53,1736639744
30-Sep-2019,2967.07,2976.74,2983.85,2967.07,1601868544
01-Oct-2019,2983.69,2940.25,2992.53,2938.70,1838273024
02-Oct-2019,2924.78,2887.61,2924.78,2874.93,2074372480
03-Oct-2019,2885.38,2910.63,2911.13,2855.94,1807383936
04-Oct-2019,2918.56,2952.01,2953.74,2918.56,1556921984
07-Oct-2019,2944.23,2938.79,2959.75,2935.68,1455888768
08-Oct-2019,2920.40,2893.06,2925.47,2892.66,1775243520
09-Oct-2019,2911.10,2919.40,2929.32,2907.41,1373037696
10-Oct-2019,2918.55,2938.13,2948.46,2917.12,1575411456
11-Oct-2019,2963.07,2970.27,2993.28,2963.07,1911156096
14-Oct-2019,2965.81,2966.15,2972.84,2962.94,1313818880
15-Oct-2019,2973.61,2995.68,3003.28,2973.61,1632141568
16-Oct-2019,2989.68,2989.69,2997.54,2985.20,1680846720
17-Oct-2019,3000.77,2997.95,3008.29,2991.79,1551363712
18-Oct-2019,2996.84,2986.20,3000.00,2976.31,1905462784
21-Oct-2019,2996.48,3006.72,3007.33,2995.35,1679142912
22-Oct-2019,3010.73,2995.99,3014.57,2995.04,1800658304
23-Oct-2019,2994.01,3004.52,3004.78,2991.21,1710662400
24-Oct-2019,3014.78,3010.29,3016.07,3000.42,1872632192
25-Oct-2019,3003.32,3022.55,3027.39,3001.94,1722178176
28-Oct-2019,3032.12,3039.42,3044.08,3032.12,1801775872
29-Oct-2019,3035.39,3036.89,3047.87,3034.81,1758593280
30-Oct-2019,3039.74,3046.77,3050.10,3025.96,1939429888
31-Oct-2019,3046.90,3037.56,3046.90,3023.19,2102576768
01-Nov-2019,3050.72,3066.91,3066.95,3050.72,1901160192
04-Nov-2019,3078.96,3078.27,3085.20,3074.87,2053537920
05-Nov-2019,3080.80,3074.62,3083.95,3072.15,2150674944
06-Nov-2019,3075.10,3076.78,3078.34,3065.89,1950866816
07-Nov-2019,3087.02,3085.18,3097.77,3080.23,2091040512
08-Nov-2019,3081.25,3093.08,3093.09,3073.58,1660102528
11-Nov-2019,3080.33,3087.01,3088.33,3075.82,1374093312
12-Nov-2019,3089.28,3091.84,3102.61,3084.73,1651572864
13-Nov-2019,3084.18,3094.04,3098.06,3078.80,1681816320
14-Nov-2019,3090.75,3096.63,3098.20,3083.26,1599515008
15-Nov-2019,3107.92,3120.46,3120.46,3104.60,1816420224
18-Nov-2019,3117.91,3122.03,3124.17,3112.06,1776164736
19-Nov-2019,3127.45,3120.18,3127.64,3113.47,1848034304
20-Nov-2019,3114.66,3108.46,3118.97,3091.41,2293787648
21-Nov-2019,3108.49,3103.54,3110.11,3094.55,1807001344
22-Nov-2019,3111.41,3110.29,3112.87,3099.26,1581551616
25-Nov-2019,3117.44,3133.64,3133.83,3117.44,1810323584
26-Nov-2019,3134.85,3140.52,3142.69,3131.00,2413650432
27-Nov-2019,3145.49,3153.63,3154.26,3143.41,1460342144
29-Nov-2019,3147.18,3140.98,3150.30,3139.34,854379328
02-Dec-2019,3143.85,3113.87,3144.31,3110.78,1720325888
03-Dec-2019,3087.41,3093.20,3094.97,3070.33,1922816128
04-Dec-2019,3103.50,3112.76,3119.38,3102.53,1736732672
05-Dec-2019,3119.21,3117.43,3119.45,3103.76,1583244160
06-Dec-2019,3134.62,3145.91,3150.60,3134.62,1653096320
09-Dec-2019,3141.86,3135.96,3148.87,3135.46,1537501568
10-Dec-2019,3135.36,3132.52,3142.12,3126.09,1603879296
11-Dec-2019,3135.75,3141.63,3143.98,3133.21,1627997312
12-Dec-2019,3141.23,3168.57,3176.28,3138.47,2147617536
13-Dec-2019,3166.65,3168.80,3182.68,3156.51,1903676672
16-Dec-2019,3183.63,3191.45,3197.71,3183.63,2068748800
17-Dec-2019,3195.40,3192.52,3198.22,3191.03,1911680768
18-Dec-2019,3195.21,3191.14,3198.48,3191.14,2033221248
19-Dec-2019,3192.32,3205.37,3205.48,3192.32,1861382784
20-Dec-2019,3223.33,3221.22,3225.65,3216.03,3378838784
23-Dec-2019,3226.05,3224.01,3227.78,3222.30,1527318400
24-Dec-2019,3225.45,3223.38,3226.43,3220.51,596396672
26-Dec-2019,3227.20,3239.91,3240.08,3227.20,1000677632
27-Dec-2019,3247.23,3240.02,3247.93,3234.37,1073482368
30-Dec-2019,3240.09,3221.29,3240.92,3216.57,1163912320
31-Dec-2019,3215.18,3230.78,3231.72,3212.03,1252224640
